y,m,d,h,c
2018,1,1,0,987
2018,1,1,1,1024
2018,1,1,2,766
2018,1,1,3,681
2018,1,1,4,465
2018,1,1,5,294
2018,1,1,6,263
2018,1,1,7,300
2018,1,1,8,590
2018,1,1,9,965
2018,1,1,10,1075
2018,1,1,11,1316
2018,1,1,12,1515
2018,1,1,13,1814
2018,1,1,14,1595
2018,1,1,15,1395
2018,1,1,16,1565
2018,1,1,17,1569
2018,1,1,18,1511
2018,1,1,19,1520
2018,1,1,20,1491
2018,1,1,21,1628
2018,1,1,22,1260
2018,1,1,23,898
2018,1,2,0,714
2018,1,2,1,765
2018,1,2,2,570
2018,1,2,3,562
2018,1,2,4,492
2018,1,2,5,445
2018,1,2,6,571
2018,1,2,7,653
2018,1,2,8,954
2018,1,2,9,1184
2018,1,2,10,1386
2018,1,2,11,1574
2018,1,2,12,1646
2018,1,2,13,1576
2018,1,2,14,1495
2018,1,2,15,1584
2018,1,2,16,1856
2018,1,2,17,1401
2018,1,2,18,1968
2018,1,2,19,1601
2018,1,2,20,1481
2018,1,2,21,1813
2018,1,2,22,1478
2018,1,2,23,1030
2018,1,3,0,815
2018,1,3,1,928
2018,1,3,2,517
2018,1,3,3,520
2018,1,3,4,397
2018,1,3,5,254
2018,1,3,6,476
2018,1,3,7,810
2018,1,3,8,1018
2018,1,3,9,1270
2018,1,3,10,1572
2018,1,3,11,1665
2018,1,3,12,1518
2018,1,3,13,1517
2018,1,3,14,1630
2018,1,3,15,1762
2018,1,3,16,2386
2018,1,3,17,1966
2018,1,3,18,1788
2018,1,3,19,1448
2018,1,3,20,1427
2018,1,3,21,1836
2018,1,3,22,1623
2018,1,3,23,1180
2018,1,4,0,717
2018,1,4,1,570
2018,1,4,2,507
2018,1,4,3,622
2018,1,4,4,759
2018,1,4,5,467
2018,1,4,6,678
2018,1,4,7,791
2018,1,4,8,1050
2018,1,4,9,1326
2018,1,4,10,1655
2018,1,4,11,1639
2018,1,4,12,1750
2018,1,4,13,1798
2018,1,4,14,1598
2018,1,4,15,1745
2018,1,4,16,2150
2018,1,4,17,2128
2018,1,4,18,1473
2018,1,4,19,1609
2018,1,4,20,1893
2018,1,4,21,2019
2018,1,4,22,1799
2018,1,4,23,1549
2018,1,5,0,930
2018,1,5,1,555
2018,1,5,2,482
2018,1,5,3,357
2018,1,5,4,494
2018,1,5,5,457
2018,1,5,6,677
2018,1,5,7,1294
2018,1,5,8,1335
2018,1,5,9,1453
2018,1,5,10,1556
2018,1,5,11,1528
2018,1,5,12,1565
2018,1,5,13,1424
2018,1,5,14,1442
2018,1,5,15,1611
2018,1,5,16,1488
2018,1,5,17,1806
2018,1,5,18,1671
2018,1,5,19,1439
2018,1,5,20,1385
2018,1,5,21,1758
2018,1,5,22,1415
2018,1,5,23,1001
2018,1,6,0,664
2018,1,6,1,514
2018,1,6,2,471
2018,1,6,3,282
2018,1,6,4,412
2018,1,6,5,223
2018,1,6,6,465
2018,1,6,7,575
2018,1,6,8,877
2018,1,6,9,969
2018,1,6,10,1177
2018,1,6,11,1526
2018,1,6,12,1958
2018,1,6,13,1882
2018,1,6,14,1475
2018,1,6,15,1476
2018,1,6,16,1626
2018,1,6,17,1687
2018,1,6,18,1892
2018,1,6,19,1267
2018,1,6,20,1319
2018,1,6,21,1742
2018,1,6,22,1580
2018,1,6,23,1083
2018,1,7,0,689
2018,1,7,1,877
2018,1,7,2,517
2018,1,7,3,402
2018,1,7,4,497
2018,1,7,5,236
2018,1,7,6,330
2018,1,7,7,573
2018,1,7,8,937
2018,1,7,9,1251
2018,1,7,10,1424
2018,1,7,11,1512
2018,1,7,12,1734
2018,1,7,13,1733
2018,1,7,14,1639
2018,1,7,15,1638
2018,1,7,16,2034
2018,1,7,17,2213
2018,1,7,18,1772
2018,1,7,19,1554
2018,1,7,20,1962
2018,1,7,21,1542
2018,1,7,22,1118
2018,1,7,23,1070
2018,1,8,0,638
2018,1,8,1,813
2018,1,8,2,592
2018,1,8,3,728
2018,1,8,4,693
2018,1,8,5,258
2018,1,8,6,465
2018,1,8,7,1005
2018,1,8,8,869
2018,1,8,9,1249
2018,1,8,10,1223
2018,1,8,11,1686
2018,1,8,12,1328
2018,1,8,13,1333
2018,1,8,14,1517
2018,1,8,15,1742
2018,1,8,16,1537
2018,1,8,17,1714
2018,1,8,18,1757
2018,1,8,19,1394
2018,1,8,20,1435
2018,1,8,21,1780
2018,1,8,22,1196
2018,1,8,23,864
2018,1,9,0,608
2018,1,9,1,650
2018,1,9,2,475
2018,1,9,3,437
2018,1,9,4,355
2018,1,9,5,306
2018,1,9,6,355
2018,1,9,7,839
2018,1,9,8,1084
2018,1,9,9,1628
2018,1,9,10,1245
2018,1,9,11,1395
2018,1,9,12,1136
2018,1,9,13,1314
2018,1,9,14,1471
2018,1,9,15,1524
2018,1,9,16,1604
2018,1,9,17,1706
2018,1,9,18,1557
2018,1,9,19,1438
2018,1,9,20,1566
2018,1,9,21,1621
2018,1,9,22,1170
2018,1,9,23,723
2018,1,10,0,566
2018,1,10,1,287
2018,1,10,2,295
2018,1,10,3,259
2018,1,10,4,330
2018,1,10,5,295
2018,1,10,6,747
2018,1,10,7,957
2018,1,10,8,1176
2018,1,10,9,1510
2018,1,10,10,1475
2018,1,10,11,1384
2018,1,10,12,1345
2018,1,10,13,2054
2018,1,10,14,1753
2018,1,10,15,1605
2018,1,10,16,1687
2018,1,10,17,1617
2018,1,10,18,1578
2018,1,10,19,1409
2018,1,10,20,1541
2018,1,10,21,1635
2018,1,10,22,1402
2018,1,10,23,1079
2018,1,11,0,810
2018,1,11,1,690
2018,1,11,2,387
2018,1,11,3,406
2018,1,11,4,383
2018,1,11,5,328
2018,1,11,6,569
2018,1,11,7,877
2018,1,11,8,1039
2018,1,11,9,1463
2018,1,11,10,1310
2018,1,11,11,1288
2018,1,11,12,1489
2018,1,11,13,1530
2018,1,11,14,1825
2018,1,11,15,1518
2018,1,11,16,1644
2018,1,11,17,1461
2018,1,11,18,1288
2018,1,11,19,1413
2018,1,11,20,1383
2018,1,11,21,1559
2018,1,11,22,1516
2018,1,11,23,1065
2018,1,12,0,592
2018,1,12,1,700
2018,1,12,2,386
2018,1,12,3,511
2018,1,12,4,355
2018,1,12,5,345
2018,1,12,6,668
2018,1,12,7,744
2018,1,12,8,1050
2018,1,12,9,1309
2018,1,12,10,1157
2018,1,12,11,1618
2018,1,12,12,1283
2018,1,12,13,1223
2018,1,12,14,1374
2018,1,12,15,1536
2018,1,12,16,1527
2018,1,12,17,1478
2018,1,12,18,1575
2018,1,12,19,1477
2018,1,12,20,1516
2018,1,12,21,1398
2018,1,12,22,1053
2018,1,12,23,715
2018,1,13,0,668
2018,1,13,1,773
2018,1,13,2,601
2018,1,13,3,458
2018,1,13,4,463
2018,1,13,5,234
2018,1,13,6,294
2018,1,13,7,572
2018,1,13,8,730
2018,1,13,9,1099
2018,1,13,10,1285
2018,1,13,11,1300
2018,1,13,12,1521
2018,1,13,13,2346
2018,1,13,14,2475
2018,1,13,15,2039
2018,1,13,16,2152
2018,1,13,17,2288
2018,1,13,18,2087
2018,1,13,19,2087
2018,1,13,20,1954
2018,1,13,21,1972
2018,1,13,22,2040
2018,1,13,23,1170
2018,1,14,0,1174
2018,1,14,1,1059
2018,1,14,2,461
2018,1,14,3,518
2018,1,14,4,423
2018,1,14,5,197
2018,1,14,6,411
2018,1,14,7,636
2018,1,14,8,914
2018,1,14,9,1190
2018,1,14,10,1468
2018,1,14,11,1695
2018,1,14,12,1846
2018,1,14,13,1539
2018,1,14,14,1380
2018,1,14,15,1850
2018,1,14,16,1735
2018,1,14,17,2087
2018,1,14,18,1883
2018,1,14,19,1596
2018,1,14,20,1877
2018,1,14,21,1472
2018,1,14,22,1456
2018,1,14,23,1773
2018,1,15,0,1159
2018,1,15,1,1022
2018,1,15,2,717
2018,1,15,3,715
2018,1,15,4,573
2018,1,15,5,398
2018,1,15,6,564
2018,1,15,7,882
2018,1,15,8,1209
2018,1,15,9,1184
2018,1,15,10,1277
2018,1,15,11,1330
2018,1,15,12,1549
2018,1,15,13,1521
2018,1,15,14,1480
2018,1,15,15,1565
2018,1,15,16,1888
2018,1,15,17,1852
2018,1,15,18,1596
2018,1,15,19,1319
2018,1,15,20,1625
2018,1,15,21,1821
2018,1,15,22,1372
2018,1,15,23,929
2018,1,16,0,551
2018,1,16,1,740
2018,1,16,2,387
2018,1,16,3,486
2018,1,16,4,442
2018,1,16,5,341
2018,1,16,6,499
2018,1,16,7,714
2018,1,16,8,928
2018,1,16,9,1298
2018,1,16,10,1320
2018,1,16,11,1220
2018,1,16,12,1533
2018,1,16,13,1309
2018,1,16,14,1359
2018,1,16,15,1447
2018,1,16,16,1718
2018,1,16,17,1938
2018,1,16,18,2041
2018,1,16,19,1357
2018,1,16,20,1529
2018,1,16,21,1786
2018,1,16,22,1195
2018,1,16,23,762
2018,1,17,0,586
2018,1,17,1,784
2018,1,17,2,555
2018,1,17,3,662
2018,1,17,4,534
2018,1,17,5,427
2018,1,17,6,508
2018,1,17,7,1103
2018,1,17,8,936
2018,1,17,9,1146
2018,1,17,10,1177
2018,1,17,11,1535
2018,1,17,12,1544
2018,1,17,13,1231
2018,1,17,14,1450
2018,1,17,15,1506
2018,1,17,16,1930
2018,1,17,17,1774
2018,1,17,18,1573
2018,1,17,19,1355
2018,1,17,20,1383
2018,1,17,21,1749
2018,1,17,22,1369
2018,1,17,23,712
2018,1,18,0,514
2018,1,18,1,711
2018,1,18,2,408
2018,1,18,3,475
2018,1,18,4,582
2018,1,18,5,325
2018,1,18,6,599
2018,1,18,7,947
2018,1,18,8,1117
2018,1,18,9,1267
2018,1,18,10,1298
2018,1,18,11,1485
2018,1,18,12,1281
2018,1,18,13,1484
2018,1,18,14,1859
2018,1,18,15,1686
2018,1,18,16,1681
2018,1,18,17,1743
2018,1,18,18,1434
2018,1,18,19,1505
2018,1,18,20,1855
2018,1,18,21,1697
2018,1,18,22,1467
2018,1,18,23,798
2018,1,19,0,846
2018,1,19,1,776
2018,1,19,2,443
2018,1,19,3,448
2018,1,19,4,386
2018,1,19,5,279
2018,1,19,6,671
2018,1,19,7,841
2018,1,19,8,1152
2018,1,19,9,1349
2018,1,19,10,1325
2018,1,19,11,1333
2018,1,19,12,1233
2018,1,19,13,1549
2018,1,19,14,1371
2018,1,19,15,1323
2018,1,19,16,1689
2018,1,19,17,1799
2018,1,19,18,1433
2018,1,19,19,1289
2018,1,19,20,1599
2018,1,19,21,1681
2018,1,19,22,1539
2018,1,19,23,824
2018,1,20,0,727
2018,1,20,1,779
2018,1,20,2,401
2018,1,20,3,484
2018,1,20,4,435
2018,1,20,5,297
2018,1,20,6,669
2018,1,20,7,629
2018,1,20,8,866
2018,1,20,9,1428
2018,1,20,10,1365
2018,1,20,11,1289
2018,1,20,12,1810
2018,1,20,13,2162
2018,1,20,14,1927
2018,1,20,15,1767
2018,1,20,16,1752
2018,1,20,17,1421
2018,1,20,18,1403
2018,1,20,19,1582
2018,1,20,20,1606
2018,1,20,21,1776
2018,1,20,22,1486
2018,1,20,23,950
2018,1,21,0,817
2018,1,21,1,960
2018,1,21,2,498
2018,1,21,3,554
2018,1,21,4,417
2018,1,21,5,344
2018,1,21,6,487
2018,1,21,7,471
2018,1,21,8,1169
2018,1,21,9,1534
2018,1,21,10,1394
2018,1,21,11,1610
2018,1,21,12,1651
2018,1,21,13,1772
2018,1,21,14,1900
2018,1,21,15,1624
2018,1,21,16,1522
2018,1,21,17,2228
2018,1,21,18,1905
2018,1,21,19,1822
2018,1,21,20,1405
2018,1,21,21,1671
2018,1,21,22,1305
2018,1,21,23,1168
2018,1,22,0,735
2018,1,22,1,808
2018,1,22,2,587
2018,1,22,3,711
2018,1,22,4,592
2018,1,22,5,410
2018,1,22,6,519
2018,1,22,7,906
2018,1,22,8,910
2018,1,22,9,1396
2018,1,22,10,1436
2018,1,22,11,1324
2018,1,22,12,1264
2018,1,22,13,1513
2018,1,22,14,1593
2018,1,22,15,1512
2018,1,22,16,1361
2018,1,22,17,1775
2018,1,22,18,1783
2018,1,22,19,1259
2018,1,22,20,1616
2018,1,22,21,1697
2018,1,22,22,1213
2018,1,22,23,879
2018,1,23,0,620
2018,1,23,1,717
2018,1,23,2,419
2018,1,23,3,562
2018,1,23,4,371
2018,1,23,5,344
2018,1,23,6,463
2018,1,23,7,762
2018,1,23,8,1081
2018,1,23,9,1375
2018,1,23,10,1523
2018,1,23,11,1464
2018,1,23,12,1296
2018,1,23,13,1510
2018,1,23,14,1564
2018,1,23,15,1805
2018,1,23,16,1912
2018,1,23,17,1742
2018,1,23,18,1434
2018,1,23,19,1537
2018,1,23,20,1632
2018,1,23,21,1885
2018,1,23,22,1512
2018,1,23,23,733
2018,1,24,0,539
2018,1,24,1,717
2018,1,24,2,373
2018,1,24,3,442
2018,1,24,4,449
2018,1,24,5,459
2018,1,24,6,668
2018,1,24,7,1159
2018,1,24,8,1327
2018,1,24,9,1248
2018,1,24,10,1378
2018,1,24,11,1407
2018,1,24,12,1387
2018,1,24,13,1387
2018,1,24,14,1348
2018,1,24,15,1480
2018,1,24,16,1518
2018,1,24,17,1471
2018,1,24,18,1313
2018,1,24,19,1351
2018,1,24,20,1398
2018,1,24,21,1753
2018,1,24,22,1221
2018,1,24,23,2799
2018,1,25,0,557
2018,1,25,1,713
2018,1,25,2,642
2018,1,25,3,772
2018,1,25,4,883
2018,1,25,5,698
2018,1,25,6,944
2018,1,25,7,1000
2018,1,25,8,1138
2018,1,25,9,1166
2018,1,25,10,1337
2018,1,25,11,1660
2018,1,25,12,1375
2018,1,25,13,1360
2018,1,25,14,1908
2018,1,25,15,2326
2018,1,25,16,2619
2018,1,25,17,1798
2018,1,25,18,1358
2018,1,25,19,1841
2018,1,25,20,1485
2018,1,25,21,1279
