y,m,d,h,c
2018,1,1,0,621
2018,1,1,1,434
2018,1,1,2,151
2018,1,1,3,98
2018,1,1,4,53
2018,1,1,5,42
2018,1,1,6,54
2018,1,1,7,67
2018,1,1,8,192
2018,1,1,9,487
2018,1,1,10,501
2018,1,1,11,550
2018,1,1,12,499
2018,1,1,13,431
2018,1,1,14,589
2018,1,1,15,579
2018,1,1,16,647
2018,1,1,17,627
2018,1,1,18,621
2018,1,1,19,546
2018,1,1,20,518
2018,1,1,21,576
2018,1,1,22,478
2018,1,1,23,463
2018,1,2,0,1054
2018,1,2,1,1575
2018,1,2,2,192
2018,1,2,3,101
2018,1,2,4,63
2018,1,2,5,70
2018,1,2,6,57
2018,1,2,7,124
2018,1,2,8,371
2018,1,2,9,578
2018,1,2,10,646
2018,1,2,11,726
2018,1,2,12,725
2018,1,2,13,803
2018,1,2,14,794
2018,1,2,15,677
2018,1,2,16,746
2018,1,2,17,1583
2018,1,2,18,1470
2018,1,2,19,958
2018,1,2,20,564
2018,1,2,21,634
2018,1,2,22,463
2018,1,2,23,472
2018,1,3,0,877
2018,1,3,1,868
2018,1,3,2,156
2018,1,3,3,110
2018,1,3,4,94
2018,1,3,5,95
2018,1,3,6,131
2018,1,3,7,211
2018,1,3,8,379
2018,1,3,9,609
2018,1,3,10,706
2018,1,3,11,733
2018,1,3,12,606
2018,1,3,13,704
2018,1,3,14,773
2018,1,3,15,720
2018,1,3,16,751
2018,1,3,17,855
2018,1,3,18,740
2018,1,3,19,431
2018,1,3,20,486
2018,1,3,21,509
2018,1,3,22,453
2018,1,3,23,524
2018,1,4,0,912
2018,1,4,1,489
2018,1,4,2,220
2018,1,4,3,110
2018,1,4,4,68
2018,1,4,5,78
2018,1,4,6,190
2018,1,4,7,281
2018,1,4,8,519
2018,1,4,9,552
2018,1,4,10,631
2018,1,4,11,646
2018,1,4,12,834
2018,1,4,13,781
2018,1,4,14,830
2018,1,4,15,923
2018,1,4,16,843
2018,1,4,17,812
2018,1,4,18,516
2018,1,4,19,604
2018,1,4,20,770
2018,1,4,21,485
2018,1,4,22,364
2018,1,4,23,448
2018,1,5,0,923
2018,1,5,1,533
2018,1,5,2,110
2018,1,5,3,452
2018,1,5,4,419
2018,1,5,5,462
2018,1,5,6,530
2018,1,5,7,552
2018,1,5,8,573
2018,1,5,9,830
2018,1,5,10,722
2018,1,5,11,616
2018,1,5,12,698
2018,1,5,13,765
2018,1,5,14,716
2018,1,5,15,694
2018,1,5,16,778
2018,1,5,17,708
2018,1,5,18,628
2018,1,5,19,558
2018,1,5,20,381
2018,1,5,21,447
2018,1,5,22,403
2018,1,5,23,431
2018,1,6,0,808
2018,1,6,1,460
2018,1,6,2,105
2018,1,6,3,112
2018,1,6,4,82
2018,1,6,5,45
2018,1,6,6,143
2018,1,6,7,123
2018,1,6,8,332
2018,1,6,9,533
2018,1,6,10,696
2018,1,6,11,736
2018,1,6,12,459
2018,1,6,13,608
2018,1,6,14,687
2018,1,6,15,712
2018,1,6,16,1041
2018,1,6,17,805
2018,1,6,18,714
2018,1,6,19,611
2018,1,6,20,586
2018,1,6,21,514
2018,1,6,22,499
2018,1,6,23,448
2018,1,7,0,890
2018,1,7,1,635
2018,1,7,2,127
2018,1,7,3,90
2018,1,7,4,77
2018,1,7,5,67
2018,1,7,6,67
2018,1,7,7,371
2018,1,7,8,282
2018,1,7,9,420
2018,1,7,10,607
2018,1,7,11,727
2018,1,7,12,945
2018,1,7,13,783
2018,1,7,14,730
2018,1,7,15,800
2018,1,7,16,1290
2018,1,7,17,845
2018,1,7,18,786
2018,1,7,19,659
2018,1,7,20,599
2018,1,7,21,888
2018,1,7,22,506
2018,1,7,23,476
2018,1,8,0,924
2018,1,8,1,602
2018,1,8,2,136
2018,1,8,3,133
2018,1,8,4,116
2018,1,8,5,184
2018,1,8,6,90
2018,1,8,7,272
2018,1,8,8,365
2018,1,8,9,531
2018,1,8,10,720
2018,1,8,11,1436
2018,1,8,12,868
2018,1,8,13,919
2018,1,8,14,731
2018,1,8,15,714
2018,1,8,16,919
2018,1,8,17,753
2018,1,8,18,649
2018,1,8,19,496
2018,1,8,20,1037
2018,1,8,21,574
2018,1,8,22,472
2018,1,8,23,388
2018,1,9,0,696
2018,1,9,1,414
2018,1,9,2,81
2018,1,9,3,187
2018,1,9,4,64
2018,1,9,5,61
2018,1,9,6,142
2018,1,9,7,338
2018,1,9,8,420
2018,1,9,9,547
2018,1,9,10,602
2018,1,9,11,663
2018,1,9,12,797
2018,1,9,13,715
2018,1,9,14,977
2018,1,9,15,902
2018,1,9,16,786
2018,1,9,17,809
2018,1,9,18,517
2018,1,9,19,456
2018,1,9,20,602
2018,1,9,21,801
