y,m,d,h,c
2018,1,1,0,247
2018,1,1,1,189
2018,1,1,2,98
2018,1,1,3,161
2018,1,1,4,75
2018,1,1,5,74
2018,1,1,6,47
2018,1,1,7,213
2018,1,1,8,188
2018,1,1,9,154
2018,1,1,10,364
2018,1,1,11,316
2018,1,1,12,463
2018,1,1,13,485
2018,1,1,14,465
2018,1,1,15,383
2018,1,1,16,375
2018,1,1,17,395
2018,1,1,18,358
2018,1,1,19,758
2018,1,1,20,315
2018,1,1,21,486
2018,1,1,22,387
2018,1,1,23,235
2018,1,2,0,157
2018,1,2,1,98
2018,1,2,2,98
2018,1,2,3,109
2018,1,2,4,75
2018,1,2,5,59
2018,1,2,6,147
2018,1,2,7,217
2018,1,2,8,182
2018,1,2,9,475
2018,1,2,10,430
2018,1,2,11,431
2018,1,2,12,484
2018,1,2,13,435
2018,1,2,14,581
2018,1,2,15,674
2018,1,2,16,439
2018,1,2,17,483
2018,1,2,18,503
2018,1,2,19,602
2018,1,2,20,371
2018,1,2,21,350
2018,1,2,22,436
2018,1,2,23,276
2018,1,3,0,172
2018,1,3,1,127
2018,1,3,2,134
2018,1,3,3,56
2018,1,3,4,53
2018,1,3,5,46
2018,1,3,6,89
2018,1,3,7,338
2018,1,3,8,362
2018,1,3,9,353
2018,1,3,10,470
2018,1,3,11,363
2018,1,3,12,339
2018,1,3,13,882
2018,1,3,14,423
2018,1,3,15,341
2018,1,3,16,320
2018,1,3,17,305
2018,1,3,18,429
2018,1,3,19,392
2018,1,3,20,331
2018,1,3,21,619
2018,1,3,22,343
2018,1,3,23,279
2018,1,4,0,134
2018,1,4,1,150
2018,1,4,2,138
2018,1,4,3,53
2018,1,4,4,105
2018,1,4,5,48
2018,1,4,6,116
2018,1,4,7,356
2018,1,4,8,224
2018,1,4,9,207
2018,1,4,10,216
2018,1,4,11,273
2018,1,4,12,1235
2018,1,4,13,487
2018,1,4,14,464
2018,1,4,15,445
2018,1,4,16,460
2018,1,4,17,497
2018,1,4,18,460
2018,1,4,19,381
2018,1,4,20,522
2018,1,4,21,502
2018,1,4,22,292
2018,1,4,23,371
2018,1,5,0,208
2018,1,5,1,118
2018,1,5,2,147
2018,1,5,3,49
2018,1,5,4,29
2018,1,5,5,42
2018,1,5,6,92
2018,1,5,7,268
2018,1,5,8,325
2018,1,5,9,235
2018,1,5,10,291
2018,1,5,11,324
2018,1,5,12,326
2018,1,5,13,352
2018,1,5,14,323
2018,1,5,15,295
2018,1,5,16,260
2018,1,5,17,220
2018,1,5,18,327
2018,1,5,19,422
2018,1,5,20,272
2018,1,5,21,298
2018,1,5,22,368
2018,1,5,23,290
2018,1,6,0,76
2018,1,6,1,76
2018,1,6,2,188
2018,1,6,3,50
2018,1,6,4,46
2018,1,6,5,57
2018,1,6,6,88
2018,1,6,7,116
2018,1,6,8,1478
2018,1,6,9,1809
2018,1,6,10,1809
2018,1,6,11,862
2018,1,6,12,305
2018,1,6,13,325
2018,1,6,14,359
2018,1,6,15,444
2018,1,6,16,358
2018,1,6,17,386
2018,1,6,18,449
2018,1,6,19,438
2018,1,6,20,390
2018,1,6,21,519
2018,1,6,22,509
2018,1,6,23,357
2018,1,7,0,163
2018,1,7,1,113
2018,1,7,2,94
2018,1,7,3,54
2018,1,7,4,57
2018,1,7,5,148
2018,1,7,6,97
2018,1,7,7,82
2018,1,7,8,284
2018,1,7,9,241
2018,1,7,10,252
2018,1,7,11,464
2018,1,7,12,345
2018,1,7,13,319
2018,1,7,14,413
2018,1,7,15,458
2018,1,7,16,284
2018,1,7,17,301
2018,1,7,18,376
2018,1,7,19,362
2018,1,7,20,415
2018,1,7,21,447
2018,1,7,22,336
2018,1,7,23,201
2018,1,8,0,157
2018,1,8,1,121
2018,1,8,2,93
2018,1,8,3,46
2018,1,8,4,58
2018,1,8,5,44
2018,1,8,6,126
2018,1,8,7,167
2018,1,8,8,182
2018,1,8,9,276
2018,1,8,10,327
2018,1,8,11,324
2018,1,8,12,287
2018,1,8,13,247
2018,1,8,14,354
2018,1,8,15,427
2018,1,8,16,505
2018,1,8,17,380
2018,1,8,18,396
2018,1,8,19,474
2018,1,8,20,507
2018,1,8,21,374
2018,1,8,22,393
2018,1,8,23,190
2018,1,9,0,112
2018,1,9,1,92
2018,1,9,2,153
2018,1,9,3,149
2018,1,9,4,66
2018,1,9,5,69
2018,1,9,6,81
2018,1,9,7,125
2018,1,9,8,256
2018,1,9,9,229
2018,1,9,10,310
2018,1,9,11,278
2018,1,9,12,284
2018,1,9,13,295
2018,1,9,14,339
2018,1,9,15,284
2018,1,9,16,396
2018,1,9,17,435
2018,1,9,18,319
2018,1,9,19,384
2018,1,9,20,506
2018,1,9,21,336
2018,1,9,22,274
2018,1,9,23,239
2018,1,10,0,234
2018,1,10,1,87
2018,1,10,2,55
2018,1,10,3,105
2018,1,10,4,48
2018,1,10,5,52
2018,1,10,6,166
2018,1,10,7,138
2018,1,10,8,293
2018,1,10,9,268
2018,1,10,10,361
2018,1,10,11,344
2018,1,10,12,308
2018,1,10,13,350
2018,1,10,14,370
2018,1,10,15,343
2018,1,10,16,398
2018,1,10,17,402
2018,1,10,18,363
2018,1,10,19,373
2018,1,10,20,353
2018,1,10,21,320
2018,1,10,22,312
2018,1,10,23,176
2018,1,11,0,148
2018,1,11,1,120
2018,1,11,2,160
2018,1,11,3,186
2018,1,11,4,205
2018,1,11,5,48
2018,1,11,6,64
2018,1,11,7,130
2018,1,11,8,198
2018,1,11,9,214
2018,1,11,10,283
2018,1,11,11,263
2018,1,11,12,290
2018,1,11,13,299
2018,1,11,14,283
2018,1,11,15,218
2018,1,11,16,350
2018,1,11,17,295
2018,1,11,18,402
2018,1,11,19,374
2018,1,11,20,391
2018,1,11,21,329
2018,1,11,22,480
2018,1,11,23,763
2018,1,12,0,184
2018,1,12,1,274
2018,1,12,2,53
2018,1,12,3,144
2018,1,12,4,45
2018,1,12,5,53
2018,1,12,6,116
2018,1,12,7,128
2018,1,12,8,207
2018,1,12,9,256
2018,1,12,10,896
2018,1,12,11,520
2018,1,12,12,246
2018,1,12,13,368
2018,1,12,14,403
2018,1,12,15,292
2018,1,12,16,361
2018,1,12,17,324
2018,1,12,18,363
2018,1,12,19,397
2018,1,12,20,406
2018,1,12,21,294
2018,1,12,22,273
2018,1,12,23,260
2018,1,13,0,220
2018,1,13,1,151
2018,1,13,2,126
2018,1,13,3,125
2018,1,13,4,89
2018,1,13,5,82
2018,1,13,6,123
2018,1,13,7,131
2018,1,13,8,173
2018,1,13,9,212
2018,1,13,10,295
2018,1,13,11,392
2018,1,13,12,290
2018,1,13,13,358
2018,1,13,14,400
2018,1,13,15,580
2018,1,13,16,513
2018,1,13,17,457
2018,1,13,18,430
2018,1,13,19,330
2018,1,13,20,369
2018,1,13,21,247
2018,1,13,22,332
2018,1,13,23,221
2018,1,14,0,132
2018,1,14,1,107
2018,1,14,2,102
2018,1,14,3,47
2018,1,14,4,89
2018,1,14,5,101
2018,1,14,6,286
2018,1,14,7,88
2018,1,14,8,253
2018,1,14,9,221
2018,1,14,10,347
2018,1,14,11,557
2018,1,14,12,314
2018,1,14,13,368
2018,1,14,14,462
2018,1,14,15,2869
2018,1,14,16,2026
2018,1,14,17,2705
2018,1,14,18,3100
2018,1,14,19,3075
2018,1,14,20,3270
2018,1,14,21,2816
2018,1,14,22,336
2018,1,14,23,198
2018,1,15,0,278
2018,1,15,1,171
2018,1,15,2,93
2018,1,15,3,64
2018,1,15,4,877
2018,1,15,5,2869
2018,1,15,6,2857
2018,1,15,7,2690
2018,1,15,8,218
2018,1,15,9,227
2018,1,15,10,459
2018,1,15,11,384
2018,1,15,12,325
2018,1,15,13,401
2018,1,15,14,374
2018,1,15,15,340
2018,1,15,16,396
2018,1,15,17,519
2018,1,15,18,426
2018,1,15,19,487
2018,1,15,20,3340
2018,1,15,21,3195
2018,1,15,22,3207
2018,1,15,23,452
2018,1,16,0,212
2018,1,16,1,95
2018,1,16,2,56
2018,1,16,3,87
2018,1,16,4,1239
2018,1,16,5,2953
2018,1,16,6,2913
2018,1,16,7,2965
2018,1,16,8,3034
2018,1,16,9,3145
2018,1,16,10,3437
2018,1,16,11,3336
2018,1,16,12,3133
2018,1,16,13,3561
2018,1,16,14,3612
2018,1,16,15,3798
2018,1,16,16,3869
2018,1,16,17,3725
2018,1,16,18,3720
2018,1,16,19,3672
2018,1,16,20,3755
2018,1,16,21,3537
2018,1,16,22,3339
2018,1,16,23,1030
2018,1,17,0,228
2018,1,17,1,63
2018,1,17,2,77
2018,1,17,3,83
2018,1,17,4,867
2018,1,17,5,2748
2018,1,17,6,2771
2018,1,17,7,2794
2018,1,17,8,2900
2018,1,17,9,2981
2018,1,17,10,2991
2018,1,17,11,3029
2018,1,17,12,3038
2018,1,17,13,3712
2018,1,17,14,3144
2018,1,17,15,3324
2018,1,17,16,3088
2018,1,17,17,3187
2018,1,17,18,2061
2018,1,17,19,483
2018,1,17,20,644
2018,1,17,21,2152
2018,1,17,22,3036
2018,1,17,23,678
2018,1,18,0,231
2018,1,18,1,192
2018,1,18,2,86
2018,1,18,3,107
2018,1,18,4,612
2018,1,18,5,2608
2018,1,18,6,2647
2018,1,18,7,2742
2018,1,18,8,2889
2018,1,18,9,2938
2018,1,18,10,3002
2018,1,18,11,3302
2018,1,18,12,2763
2018,1,18,13,3020
2018,1,18,14,3020
2018,1,18,15,3129
2018,1,18,16,2971
2018,1,18,17,2024
2018,1,18,18,413
2018,1,18,19,388
2018,1,18,20,441
2018,1,18,21,3523
2018,1,18,22,3874
2018,1,18,23,213
2018,1,19,0,212
2018,1,19,1,135
2018,1,19,2,52
2018,1,19,3,59
2018,1,19,4,1895
2018,1,19,5,6795
2018,1,19,6,6962
2018,1,19,7,2277
2018,1,19,8,227
2018,1,19,9,229
2018,1,19,10,386
2018,1,19,11,352
2018,1,19,12,348
2018,1,19,13,320
2018,1,19,14,645
2018,1,19,15,7315
2018,1,19,16,5064
2018,1,19,17,3701
2018,1,19,18,3836
2018,1,19,19,3900
2018,1,19,20,4140
2018,1,19,21,3999
2018,1,19,22,3688
2018,1,19,23,4006
2018,1,20,0,7184
2018,1,20,1,7169
2018,1,20,2,4034
2018,1,20,3,50
2018,1,20,4,74
2018,1,20,5,59
2018,1,20,6,963
2018,1,20,7,6812
2018,1,20,8,7126
2018,1,20,9,7011
2018,1,20,10,7348
2018,1,20,11,4457
2018,1,20,12,326
2018,1,20,13,4239
2018,1,20,14,5160
2018,1,20,15,4643
2018,1,20,16,7161
2018,1,20,17,7197
2018,1,20,18,7134
2018,1,20,19,7155
2018,1,20,20,7285
2018,1,20,21,6984
2018,1,20,22,4140
2018,1,20,23,257
2018,1,21,0,155
2018,1,21,1,134
2018,1,21,2,96
2018,1,21,3,68
2018,1,21,4,112
2018,1,21,5,1063
2018,1,21,6,6786
2018,1,21,7,6831
2018,1,21,8,7160
2018,1,21,9,7215
2018,1,21,10,7348
2018,1,21,11,7967
2018,1,21,12,7498
2018,1,21,13,7238
2018,1,21,14,7101
2018,1,21,15,7161
2018,1,21,16,6939
2018,1,21,17,6973
2018,1,21,18,6712
2018,1,21,19,7492
2018,1,21,20,7248
2018,1,21,21,7170
2018,1,21,22,6619
2018,1,21,23,6344
2018,1,22,0,6968
2018,1,22,1,6919
2018,1,22,2,6984
2018,1,22,3,6825
2018,1,22,4,6803
2018,1,22,5,6613
2018,1,22,6,6758
2018,1,22,7,6773
2018,1,22,8,6740
2018,1,22,9,6612
2018,1,22,10,6613
2018,1,22,11,6633
2018,1,22,12,6650
2018,1,22,13,6546
2018,1,22,14,6573
2018,1,22,15,6399
2018,1,22,16,6220
2018,1,22,17,6130
2018,1,22,18,1984
2018,1,22,19,7162
2018,1,22,20,6418
2018,1,22,21,6798
2018,1,22,22,7001
2018,1,22,23,687
2018,1,23,0,159
2018,1,23,1,103
2018,1,23,2,58
2018,1,23,3,72
2018,1,23,4,3033
2018,1,23,5,6813
2018,1,23,6,6638
2018,1,23,7,6892
2018,1,23,8,5350
2018,1,23,9,318
2018,1,23,10,418
2018,1,23,11,377
2018,1,23,12,396
2018,1,23,13,785
2018,1,23,14,409
2018,1,23,15,3477
2018,1,23,16,6861
2018,1,23,17,7375
2018,1,23,18,7428
2018,1,23,19,4787
2018,1,23,20,2921
2018,1,23,21,382
2018,1,23,22,284
2018,1,23,23,229
2018,1,24,0,126
2018,1,24,1,85
2018,1,24,2,53
2018,1,24,3,61
2018,1,24,4,94
2018,1,24,5,59
2018,1,24,6,94
2018,1,24,7,195
2018,1,24,8,240
2018,1,24,9,299
2018,1,24,10,376
2018,1,24,11,298
2018,1,24,12,419
2018,1,24,13,378
2018,1,24,14,364
2018,1,24,15,333
2018,1,24,16,673
2018,1,24,17,485
2018,1,24,18,535
2018,1,24,19,1232
2018,1,24,20,3263
2018,1,24,21,622
2018,1,24,22,349
2018,1,24,23,178
2018,1,25,0,126
2018,1,25,1,117
2018,1,25,2,141
2018,1,25,3,76
2018,1,25,4,146
2018,1,25,5,117
2018,1,25,6,155
2018,1,25,7,190
2018,1,25,8,271
2018,1,25,9,343
2018,1,25,10,310
2018,1,25,11,488
2018,1,25,12,243
2018,1,25,13,294
2018,1,25,14,265
2018,1,25,15,367
2018,1,25,16,285
2018,1,25,17,417
2018,1,25,18,3296
2018,1,25,19,458
2018,1,25,20,1162
2018,1,25,21,2017
2018,1,25,22,670
2018,1,25,23,254
2018,1,26,0,311
2018,1,26,1,218
2018,1,26,2,150
2018,1,26,3,139
2018,1,26,4,138
2018,1,26,5,91
2018,1,26,6,85
2018,1,26,7,168
2018,1,26,8,238
2018,1,26,9,246
2018,1,26,10,528
2018,1,26,11,677
2018,1,26,12,545
2018,1,26,13,534
2018,1,26,14,441
2018,1,26,15,1039
2018,1,26,16,469
2018,1,26,17,325
2018,1,26,18,369
2018,1,26,19,348
2018,1,26,20,947
2018,1,26,21,366
2018,1,26,22,2363
2018,1,26,23,521
2018,1,27,0,176
2018,1,27,1,107
2018,1,27,2,141
2018,1,27,3,68
2018,1,27,4,81
2018,1,27,5,56
2018,1,27,6,108
2018,1,27,7,101
2018,1,27,8,172
2018,1,27,9,230
2018,1,27,10,313
2018,1,27,11,351
2018,1,27,12,363
2018,1,27,13,848
2018,1,27,14,433
2018,1,27,15,419
2018,1,27,16,364
2018,1,27,17,458
2018,1,27,18,431
2018,1,27,19,371
2018,1,27,20,541
2018,1,27,21,2061
2018,1,27,22,2745
2018,1,27,23,276
2018,1,28,0,323
2018,1,28,1,168
2018,1,28,2,64
2018,1,28,3,74
2018,1,28,4,46
2018,1,28,5,133
2018,1,28,6,67
2018,1,28,7,170
2018,1,28,8,198
2018,1,28,9,242
2018,1,28,10,302
2018,1,28,11,407
2018,1,28,12,347
2018,1,28,13,367
2018,1,28,14,1034
2018,1,28,15,1319
2018,1,28,16,437
2018,1,28,17,419
2018,1,28,18,418
2018,1,28,19,951
2018,1,28,20,573
2018,1,28,21,443
2018,1,28,22,351
2018,1,28,23,333
2018,1,29,0,262
2018,1,29,1,82
2018,1,29,2,57
2018,1,29,3,77
2018,1,29,4,58
2018,1,29,5,50
2018,1,29,6,78
2018,1,29,7,158
2018,1,29,8,249
2018,1,29,9,216
2018,1,29,10,363
2018,1,29,11,496
2018,1,29,12,397
2018,1,29,13,370
2018,1,29,14,348
2018,1,29,15,346
2018,1,29,16,512
2018,1,29,17,429
2018,1,29,18,452
2018,1,29,19,376
2018,1,29,20,417
2018,1,29,21,2375
2018,1,29,22,298
2018,1,29,23,249
2018,1,30,0,129
2018,1,30,1,280
2018,1,30,2,114
2018,1,30,3,126
2018,1,30,4,111
2018,1,30,5,144
2018,1,30,6,94
2018,1,30,7,173
2018,1,30,8,170
2018,1,30,9,326
2018,1,30,10,312
2018,1,30,11,481
2018,1,30,12,761
2018,1,30,13,494
2018,1,30,14,307
2018,1,30,15,593
2018,1,30,16,415
2018,1,30,17,600
2018,1,30,18,564
2018,1,30,19,1974
2018,1,30,20,2523
2018,1,30,21,429
2018,1,30,22,542
2018,1,30,23,339
2018,1,31,0,208
2018,1,31,1,114
2018,1,31,2,102
2018,1,31,3,55
2018,1,31,4,56
2018,1,31,5,53
2018,1,31,6,140
2018,1,31,7,210
2018,1,31,8,347
2018,1,31,9,344
2018,1,31,10,383
2018,1,31,11,458
2018,1,31,12,584
2018,1,31,13,615
2018,1,31,14,468
2018,1,31,15,340
2018,1,31,16,338
2018,1,31,17,454
2018,1,31,18,356
2018,1,31,19,483
2018,1,31,20,537
2018,1,31,21,405
2018,1,31,22,340
2018,1,31,23,379
2018,2,1,0,320
2018,2,1,1,196
2018,2,1,2,90
2018,2,1,3,52
2018,2,1,4,46
2018,2,1,5,109
2018,2,1,6,120
2018,2,1,7,180
2018,2,1,8,214
2018,2,1,9,204
2018,2,1,10,397
2018,2,1,11,449
2018,2,1,12,339
2018,2,1,13,320
2018,2,1,14,363
2018,2,1,15,405
2018,2,1,16,457
2018,2,1,17,421
2018,2,1,18,362
2018,2,1,19,478
2018,2,1,20,595
2018,2,1,21,456
2018,2,1,22,362
2018,2,1,23,288
2018,2,2,0,163
2018,2,2,1,95
2018,2,2,2,57
2018,2,2,3,89
2018,2,2,4,57
2018,2,2,5,76
2018,2,2,6,101
2018,2,2,7,165
2018,2,2,8,247
2018,2,2,9,325
