y,m,d,h,c
2018,1,2,11,1
2018,1,2,14,1
2018,1,2,19,1
2018,1,3,15,1
2018,1,3,16,1
2018,1,5,16,1
2018,1,6,20,1
2018,1,8,0,1
2018,1,8,13,1
2018,1,8,20,1
2018,1,9,20,1
2018,1,10,3,6
2018,1,10,9,16
2018,1,11,17,1
2018,1,11,19,1
2018,1,12,9,1
2018,1,12,13,8
2018,1,12,14,3
2018,1,12,15,2
2018,1,12,17,1
2018,1,12,18,4
2018,1,12,19,11
2018,1,12,22,4
2018,1,12,23,1
2018,1,13,0,5
2018,1,13,1,7
2018,1,13,10,1
2018,1,13,11,6
2018,1,13,12,3
2018,1,13,15,2
2018,1,13,16,1
2018,1,13,20,3
2018,1,13,21,2
2018,1,14,0,4
2018,1,14,11,1
2018,1,14,13,1
2018,1,14,14,2
2018,1,15,8,2
2018,1,15,11,2
2018,1,15,21,1
2018,1,16,9,1
2018,1,16,18,1
2018,1,17,15,4
2018,1,18,12,2
2018,1,18,23,3
2018,1,19,0,5
2018,1,19,1,4
2018,1,19,11,1
2018,1,19,18,2
2018,1,19,19,2
2018,1,21,20,1
2018,1,21,21,1
2018,1,21,22,5
2018,1,21,23,1
2018,1,22,10,1
2018,1,23,8,1
2018,1,24,9,2
2018,1,25,22,6
2018,1,26,21,1
2018,1,29,15,1
2018,1,30,11,1
2018,1,31,19,2
2018,2,1,14,1
2018,2,2,14,2
2018,2,5,11,1
2018,2,5,15,1
2018,2,6,5,3
2018,2,6,13,43
2018,2,6,14,72
2018,2,8,0,1
2018,2,8,5,4
2018,2,9,4,1
2018,2,10,6,1
2018,2,12,14,1
2018,2,12,15,1
2018,2,12,23,1
2018,2,13,22,1
2018,2,16,21,1
2018,2,18,1,1
2018,2,18,10,1
2018,2,18,16,1
2018,2,19,15,1
2018,2,20,22,1
2018,2,21,14,1
2018,2,21,17,8
2018,2,22,0,1
2018,2,24,18,5
2018,2,25,11,2
2018,2,25,13,1
2018,2,26,15,1
2018,2,26,18,1
2018,2,27,0,1
2018,3,2,20,1
2018,3,3,7,3
2018,3,3,9,1
2018,3,3,22,1
2018,3,4,17,2
2018,3,4,21,1
2018,3,5,15,1
2018,3,7,14,1
2018,3,8,0,1
2018,3,8,23,1
2018,3,12,9,1
2018,3,12,10,1
2018,3,12,14,1
2018,3,12,15,1
2018,3,12,21,1
2018,3,13,19,1
2018,3,14,16,3
2018,3,14,19,7
2018,3,14,20,1
2018,3,15,9,1
2018,3,15,18,1
2018,3,16,18,2
2018,3,16,22,1
2018,3,18,14,8
2018,3,19,16,1
2018,3,19,23,1
2018,3,20,22,1
2018,3,21,0,1
2018,3,21,23,4
2018,3,22,0,28
2018,3,22,1,25
2018,3,22,20,6
2018,3,22,21,36
2018,3,22,22,15
2018,3,23,0,46
2018,3,23,1,142
2018,3,23,2,43
2018,3,23,13,1
2018,3,23,20,3
2018,3,23,21,14
2018,3,23,23,4
2018,3,24,0,9
2018,3,24,9,4
2018,3,24,10,4
2018,3,24,20,14
2018,3,24,21,47
2018,3,24,22,34
2018,3,24,23,21
2018,3,25,0,31
2018,3,25,1,18
2018,3,25,5,1
2018,3,25,10,2
2018,3,25,11,10
2018,3,25,12,28
2018,3,25,13,5
2018,3,25,18,1
2018,3,25,19,30
2018,3,25,20,43
2018,3,25,21,58
2018,3,25,22,3
2018,3,26,10,1
2018,3,26,13,1
2018,3,27,8,1
2018,3,28,17,1
2018,3,29,0,7
2018,3,29,15,1
2018,3,29,18,3
2018,3,30,22,1
2018,3,31,9,1
2018,4,1,20,11
2018,4,1,21,5
2018,4,1,22,9
2018,4,2,13,3
2018,4,2,14,1
2018,4,2,15,9
2018,4,2,17,6
2018,4,2,19,1
2018,4,2,21,1
2018,4,2,22,5
2018,4,3,1,12
2018,4,3,2,17
2018,4,3,12,1
2018,4,4,2,2
2018,4,4,3,20
2018,4,4,4,4
2018,4,4,5,7
2018,4,4,6,2
2018,4,4,11,1
2018,4,4,14,6
2018,4,5,0,15
2018,4,5,1,26
2018,4,5,2,3
2018,4,5,19,1
2018,4,5,20,12
2018,4,5,21,6
2018,4,6,0,12
2018,4,6,1,14
2018,4,6,23,2
2018,4,7,0,1
2018,4,7,1,35
2018,4,7,2,19
2018,4,7,3,1
2018,4,7,11,1
2018,4,7,12,1
2018,4,7,21,7
2018,4,7,22,3
2018,4,8,14,8
2018,4,8,15,16
2018,4,8,18,7
2018,4,8,19,7
2018,4,9,12,1
2018,4,9,13,1
2018,4,9,14,1
2018,4,10,4,4
2018,4,10,17,13
2018,4,10,18,27
2018,4,10,20,6
2018,4,11,16,11
2018,4,11,17,6
2018,4,13,1,3
2018,4,14,3,2
2018,4,14,5,8
2018,4,16,14,1
2018,4,17,9,1
2018,4,20,0,3
2018,4,21,22,5
2018,4,22,7,3
2018,4,22,8,5
2018,4,22,12,6
2018,4,22,13,5
2018,4,22,14,5
2018,4,22,15,4
2018,4,22,16,5
2018,4,22,18,10
2018,4,22,19,22
2018,4,22,22,35
2018,4,22,23,10
2018,4,23,5,2
2018,4,23,6,2
2018,4,23,9,30
2018,4,24,7,6
2018,4,24,8,1
2018,4,24,9,4
